GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,0021200010,33,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,-45.0,246.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,64,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,58,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21.0,-188.0,102.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,73,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-237.0,99.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,199,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21.0,157.0,148.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,238,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,43,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-226.0,-17.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,290,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,1,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-18.0,31.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,316,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,-48.0,17.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,330,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,16,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-10.0,39.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,458,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,136.0,208.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,460,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,65.0,242.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,471,201939,Stephen Curry,1610612744,Golden State Warriors,4,8,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20.0,84.0,183.0,1,1,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,475,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8.0,81.0,20.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,516,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,32.0,249.0,1,0,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200010,522,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,7.0,1,1,20121031,PHX,GSW,2012-13
Shot Chart Detail,0021200026,50,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-198.0,160.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,57,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9.0,-84.0,36.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,70,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,4,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-234.0,-3.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,134,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16.0,80.0,146.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,139,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,44,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-142.0,118.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,141,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,9,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,17.0,39.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,157,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22.0,127.0,183.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,160,201939,Stephen Curry,1610612744,Golden State Warriors,2,8,28,Made Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-228.0,48.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,169,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,25,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-209.0,142.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,214,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,29,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16.0,129.0,105.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,222,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18.0,185.0,12.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,226,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,6.0,23.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,292,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,43,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17.0,124.0,129.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,303,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,37,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,110.0,239.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,315,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,135.0,238.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,373,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28.0,-2.0,287.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,423,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,44,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,154.0,222.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,451,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,138.0,238.0,1,1,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,469,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,138.0,242.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200026,503,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12.0,-119.0,39.0,1,0,20121102,GSW,MEM,2012-13
Shot Chart Detail,0021200036,37,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27.0,34.0,272.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,56,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19.0,24.0,190.0,1,1,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,59,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27.0,-168.0,213.0,1,1,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,149,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18.0,184.0,17.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,159,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,43,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10.0,-97.0,41.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,166,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,163.0,200.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,177,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,15,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,-7.0,75.0,1,1,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,205,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17.0,119.0,131.0,1,1,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,358,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,1,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,48.0,4.0,489.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,434,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27.0,-142.0,241.0,1,1,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,503,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,143.0,227.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,537,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-142.0,227.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,556,201939,Stephen Curry,1610612744,Golden State Warriors,4,8,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18.0,-182.0,12.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,589,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,59,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19.0,-23.0,195.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,608,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,10,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11.0,-8.0,116.0,1,0,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200036,654,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,25,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12.0,9.0,123.0,1,1,20121103,LAC,GSW,2012-13
Shot Chart Detail,0021200048,48,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,23.0,9.0,1,0,20121105,SAC,GSW,2012-13
Shot Chart Detail,0021200048,75,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,57,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10.0,-76.0,74.0,1,0,20121105,SAC,GSW,2012-13
Shot Chart Detail,0021200048,81,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20.0,86.0,181.0,1,0,20121105,SAC,GSW,2012-13
Shot Chart Detail,0021200048,162,201939,Stephen Curry,1610612744,Golden State Warriors,2,8,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24.0,-240.0,42.0,1,0,20121105,SAC,GSW,2012-13
Shot Chart Detail,0021200048,179,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,1,Missed Shot,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,-65.0,238.0,1,0,20121105,SAC,GSW,2012-13
Shot Chart Detail,0021200048,194,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19.0,39.0,194.0,1,0,20121105,SAC,GSW,2012-13
Shot Chart Detail,0021200048,201,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19.0,122.0,154.0,1,0,20121105,SAC,GSW,2012-13
Shot Chart Detail,0021200048,217,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11.0,-111.0,11.0,1,0,20121105,SAC,GSW,2012-13
