,,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt,Corner 3,Corner 3,Corner 3,SEASON
TEAM_ID,TEAM_NAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,
1610612737,Atlanta Hawks,1078,1819,0.593,408,1238,0.33,1057,2675,0.395,27,85,0.318,56,140,0.4,249,701,0.355,1,10,0.1,83,225,0.369,2000-01
1610612738,Boston Celtics,1163,2158,0.539,298,829,0.359,721,1865,0.387,73,186,0.392,99,252,0.393,419,1183,0.354,0,12,0.0,172,438,0.393,2000-01
1610612766,Charlotte Hornets,1070,1824,0.587,325,852,0.381,1065,2842,0.375,41,98,0.418,33,86,0.384,265,790,0.335,1,9,0.111,74,184,0.402,2000-01
1610612741,Chicago Bulls,1024,1825,0.561,381,1015,0.375,988,2623,0.377,24,66,0.364,24,65,0.369,280,812,0.345,0,5,0.0,48,131,0.366,2000-01
1610612739,Cleveland Cavaliers,1203,2077,0.579,432,1178,0.367,1036,2619,0.396,50,137,0.365,33,96,0.344,135,403,0.335,1,22,0.045,83,233,0.356,2000-01
1610612742,Dallas Mavericks,1152,1818,0.634,456,1185,0.385,960,2356,0.407,41,105,0.39,79,224,0.353,397,1014,0.392,0,14,0.0,120,329,0.365,2000-01
1610612743,Denver Nuggets,1279,2099,0.609,319,899,0.355,869,2435,0.357,82,217,0.378,87,225,0.387,343,997,0.344,0,5,0.0,169,442,0.382,2000-01
1610612765,Detroit Pistons,1182,2112,0.56,249,739,0.337,1098,2916,0.377,73,182,0.401,47,137,0.343,269,788,0.341,0,5,0.0,120,319,0.376,2000-01
1610612744,Golden State Warriors,1197,1976,0.606,440,1378,0.319,1018,2859,0.356,37,118,0.314,27,81,0.333,217,755,0.287,1,8,0.125,64,199,0.322,2000-01
1610612745,Houston Rockets,1287,2074,0.621,344,894,0.385,808,2116,0.382,85,212,0.401,56,152,0.368,361,1031,0.35,2,15,0.133,141,364,0.387,2000-01
1610612754,Indiana Pacers,996,1682,0.592,370,1046,0.354,1067,2544,0.419,80,234,0.342,70,165,0.424,245,753,0.325,0,7,0.0,150,399,0.376,2000-01
1610612746,Los Angeles Clippers,1166,1867,0.625,587,1416,0.415,783,2122,0.369,35,83,0.422,27,86,0.314,298,888,0.336,0,4,0.0,62,169,0.367,2000-01
1610612747,Los Angeles Lakers,1320,2002,0.659,498,1259,0.396,853,2150,0.397,36,99,0.364,48,127,0.378,354,1036,0.342,0,12,0.0,84,226,0.372,2000-01
1610612748,Miami Heat,951,1662,0.572,369,937,0.394,897,2278,0.394,59,156,0.378,57,145,0.393,361,1066,0.339,0,14,0.0,116,301,0.385,2000-01
1610612749,Milwaukee Bucks,942,1604,0.587,431,946,0.456,1178,2767,0.426,95,255,0.373,76,173,0.439,387,1038,0.373,3,15,0.2,171,428,0.4,2000-01
1610612750,Minnesota Timberwolves,1045,1704,0.613,418,1070,0.391,1363,3194,0.427,53,109,0.486,45,137,0.328,224,648,0.346,0,9,0.0,98,246,0.398,2000-01
1610612751,New Jersey Nets,1240,2161,0.574,330,902,0.366,851,2404,0.354,51,136,0.375,31,100,0.31,277,836,0.331,1,11,0.091,82,236,0.347,2000-01
1610612752,New York Knicks,1038,1762,0.589,341,915,0.373,986,2407,0.41,52,124,0.419,58,141,0.411,280,840,0.333,0,9,0.0,110,265,0.415,2000-01
1610612753,Orlando Magic,1210,2121,0.57,281,745,0.377,1033,2662,0.388,42,107,0.393,43,117,0.368,404,1107,0.365,0,14,0.0,85,224,0.379,2000-01
1610612755,Philadelphia 76ers,1319,1968,0.67,396,1312,0.302,925,2405,0.385,36,108,0.333,40,89,0.449,186,597,0.312,0,8,0.0,76,197,0.386,2000-01
1610612756,Phoenix Suns,1102,1850,0.596,428,1152,0.372,1082,2702,0.4,53,158,0.335,41,145,0.283,238,737,0.323,0,13,0.0,94,303,0.31,2000-01
1610612757,Portland Trail Blazers,1270,2052,0.619,348,883,0.394,1019,2428,0.42,40,112,0.357,42,127,0.331,285,807,0.353,0,8,0.0,82,239,0.343,2000-01
1610612758,Sacramento Kings,1416,2269,0.624,381,1091,0.349,857,2257,0.38,59,167,0.353,73,195,0.374,344,970,0.355,2,20,0.1,132,362,0.365,2000-01
1610612759,San Antonio Spurs,1104,1764,0.626,396,1049,0.378,938,2355,0.398,73,149,0.49,113,237,0.477,259,696,0.372,1,12,0.083,186,386,0.482,2000-01
1610612760,Seattle SuperSonics,1428,2361,0.605,462,1248,0.37,674,1872,0.36,66,151,0.437,48,130,0.369,351,878,0.4,0,9,0.0,114,281,0.406,2000-01
1610612761,Toronto Raptors,1139,1918,0.594,284,773,0.367,1196,3117,0.384,45,133,0.338,62,137,0.453,322,879,0.366,0,15,0.0,107,270,0.396,2000-01
1610612762,Utah Jazz,1410,2295,0.614,327,836,0.391,903,2318,0.39,51,105,0.486,55,131,0.42,214,597,0.358,0,7,0.0,106,236,0.449,2000-01
1610612763,Vancouver Grizzlies,986,1645,0.599,372,1005,0.37,1188,2943,0.404,32,112,0.286,50,147,0.34,242,684,0.354,0,3,0.0,82,259,0.317,2000-01
1610612764,Washington Wizards,1097,1878,0.584,457,1271,0.36,1004,2456,0.409,29,89,0.326,39,105,0.371,207,651,0.318,0,3,0.0,68,194,0.351,2000-01
