SHOT_ZONE_BASIC,FGA,FGM,SEASON_ID,PLAYER_NAME
Above the Break 3,505,225,2012-13,Stephen Curry
Backcourt,6,0,2012-13,Stephen Curry
In The Paint (Non-RA),159,63,2012-13,Stephen Curry
Left Corner 3,54,26,2012-13,Stephen Curry
Mid-Range,467,203,2012-13,Stephen Curry
Restricted Area,162,88,2012-13,Stephen Curry
Right Corner 3,35,21,2012-13,Stephen Curry
Above the Break 3,757,342,2015-16,Stephen Curry
Backcourt,11,2,2015-16,Stephen Curry
In The Paint (Non-RA),113,55,2015-16,Stephen Curry
Left Corner 3,63,30,2015-16,Stephen Curry
Mid-Range,200,85,2015-16,Stephen Curry
Restricted Area,399,263,2015-16,Stephen Curry
Right Corner 3,53,27,2015-16,Stephen Curry
Above the Break 3,666,286,2018-19,Stephen Curry
Backcourt,11,1,2018-19,Stephen Curry
In The Paint (Non-RA),100,46,2018-19,Stephen Curry
Left Corner 3,77,41,2018-19,Stephen Curry
Mid-Range,196,85,2018-19,Stephen Curry
Restricted Area,234,147,2018-19,Stephen Curry
Right Corner 3,56,26,2018-19,Stephen Curry
Above the Break 3,668,261,2021-22,Stephen Curry
Backcourt,5,0,2021-22,Stephen Curry
In The Paint (Non-RA),137,67,2021-22,Stephen Curry
Left Corner 3,39,13,2021-22,Stephen Curry
Mid-Range,134,59,2021-22,Stephen Curry
Restricted Area,204,124,2021-22,Stephen Curry
Right Corner 3,37,11,2021-22,Stephen Curry
Above the Break 3,693,269,2024-25,Stephen Curry
Backcourt,6,1,2024-25,Stephen Curry
In The Paint (Non-RA),182,84,2024-25,Stephen Curry
Left Corner 3,55,24,2024-25,Stephen Curry
Mid-Range,130,65,2024-25,Stephen Curry
Restricted Area,162,104,2024-25,Stephen Curry
Right Corner 3,30,17,2024-25,Stephen Curry
Above the Break 3,465,172,2012-13,James Harden
Backcourt,3,1,2012-13,James Harden
In The Paint (Non-RA),173,54,2012-13,James Harden
Left Corner 3,6,1,2012-13,James Harden
Mid-Range,215,72,2012-13,James Harden
Restricted Area,463,280,2012-13,James Harden
Right Corner 3,12,5,2012-13,James Harden
Above the Break 3,593,218,2015-16,James Harden
In The Paint (Non-RA),188,69,2015-16,James Harden
Left Corner 3,21,6,2015-16,James Harden
Mid-Range,316,128,2015-16,James Harden
Restricted Area,456,277,2015-16,James Harden
Right Corner 3,43,12,2015-16,James Harden
Above the Break 3,942,348,2018-19,James Harden
Backcourt,1,0,2018-19,James Harden
In The Paint (Non-RA),281,126,2018-19,James Harden
Left Corner 3,35,9,2018-19,James Harden
Mid-Range,81,34,2018-19,James Harden
Restricted Area,519,305,2018-19,James Harden
Right Corner 3,50,21,2018-19,James Harden
Above the Break 3,421,140,2021-22,James Harden
In The Paint (Non-RA),213,82,2021-22,James Harden
Left Corner 3,9,3,2021-22,James Harden
Mid-Range,51,21,2021-22,James Harden
Restricted Area,280,156,2021-22,James Harden
Right Corner 3,18,5,2021-22,James Harden
Above the Break 3,638,223,2024-25,James Harden
In The Paint (Non-RA),312,126,2024-25,James Harden
Left Corner 3,9,4,2024-25,James Harden
Mid-Range,110,49,2024-25,James Harden
Restricted Area,205,121,2024-25,James Harden
Right Corner 3,21,8,2024-25,James Harden
Above the Break 3,211,82,2012-13,LeBron James
In The Paint (Non-RA),156,77,2012-13,LeBron James
Left Corner 3,12,4,2012-13,LeBron James
Mid-Range,403,174,2012-13,LeBron James
Restricted Area,541,411,2012-13,LeBron James
Right Corner 3,31,17,2012-13,LeBron James
Above the Break 3,244,78,2015-16,LeBron James
In The Paint (Non-RA),135,54,2015-16,LeBron James
Left Corner 3,20,5,2015-16,LeBron James
Mid-Range,315,118,2015-16,LeBron James
Restricted Area,684,478,2015-16,LeBron James
Right Corner 3,17,4,2015-16,LeBron James
Above the Break 3,301,102,2018-19,LeBron James
In The Paint (Non-RA),122,37,2018-19,LeBron James
Left Corner 3,15,4,2018-19,LeBron James
Mid-Range,174,75,2018-19,LeBron James
Restricted Area,471,335,2018-19,LeBron James
Right Corner 3,12,5,2018-19,LeBron James
Above the Break 3,412,150,2021-22,LeBron James
In The Paint (Non-RA),108,39,2021-22,LeBron James
Left Corner 3,15,6,2021-22,LeBron James
Mid-Range,184,78,2021-22,LeBron James
Restricted Area,481,362,2021-22,LeBron James
Right Corner 3,21,5,2021-22,LeBron James
Above the Break 3,357,136,2024-25,LeBron James
Backcourt,2,0,2024-25,LeBron James
In The Paint (Non-RA),270,120,2024-25,LeBron James
Left Corner 3,23,8,2024-25,LeBron James
Mid-Range,218,95,2024-25,LeBron James
Restricted Area,386,287,2024-25,LeBron James
Right Corner 3,14,5,2024-25,LeBron James
Above the Break 3,314,131,2012-13,Kevin Durant
In The Paint (Non-RA),285,134,2012-13,Kevin Durant
Left Corner 3,3,1,2012-13,Kevin Durant
Mid-Range,468,212,2012-13,Kevin Durant
Restricted Area,346,246,2012-13,Kevin Durant
Right Corner 3,17,7,2012-13,Kevin Durant
Above the Break 3,460,178,2015-16,Kevin Durant
In The Paint (Non-RA),193,96,2015-16,Kevin Durant
Left Corner 3,4,1,2015-16,Kevin Durant
Mid-Range,396,196,2015-16,Kevin Durant
Restricted Area,311,220,2015-16,Kevin Durant
Right Corner 3,17,7,2015-16,Kevin Durant
Above the Break 3,357,130,2018-19,Kevin Durant
In The Paint (Non-RA),250,123,2018-19,Kevin Durant
Left Corner 3,13,3,2018-19,Kevin Durant
Mid-Range,461,254,2018-19,Kevin Durant
Restricted Area,284,207,2018-19,Kevin Durant
Right Corner 3,18,4,2018-19,Kevin Durant
Above the Break 3,277,102,2021-22,Kevin Durant
In The Paint (Non-RA),276,142,2021-22,Kevin Durant
Left Corner 3,7,3,2021-22,Kevin Durant
Mid-Range,407,226,2021-22,Kevin Durant
Restricted Area,132,95,2021-22,Kevin Durant
Right Corner 3,16,10,2021-22,Kevin Durant
Above the Break 3,284,116,2024-25,Kevin Durant
In The Paint (Non-RA),342,182,2024-25,Kevin Durant
Left Corner 3,42,22,2024-25,Kevin Durant
Mid-Range,286,152,2024-25,Kevin Durant
Restricted Area,124,98,2024-25,Kevin Durant
Right Corner 3,46,22,2024-25,Kevin Durant
Above the Break 3,84,22,2012-13,DeMar DeRozan
In The Paint (Non-RA),161,59,2012-13,DeMar DeRozan
Left Corner 3,17,5,2012-13,DeMar DeRozan
Mid-Range,649,265,2012-13,DeMar DeRozan
Restricted Area,301,190,2012-13,DeMar DeRozan
Right Corner 3,19,7,2012-13,DeMar DeRozan
Above the Break 3,75,21,2015-16,DeMar DeRozan
Backcourt,3,0,2015-16,DeMar DeRozan
In The Paint (Non-RA),307,127,2015-16,DeMar DeRozan
Left Corner 3,33,15,2015-16,DeMar DeRozan
Mid-Range,555,211,2015-16,DeMar DeRozan
Restricted Area,376,229,2015-16,DeMar DeRozan
Right Corner 3,27,11,2015-16,DeMar DeRozan
Above the Break 3,22,1,2018-19,DeMar DeRozan
Backcourt,1,0,2018-19,DeMar DeRozan
In The Paint (Non-RA),396,178,2018-19,DeMar DeRozan
Left Corner 3,13,4,2018-19,DeMar DeRozan
Mid-Range,553,224,2018-19,DeMar DeRozan
Restricted Area,319,222,2018-19,DeMar DeRozan
Right Corner 3,9,2,2018-19,DeMar DeRozan
Above the Break 3,81,32,2021-22,DeMar DeRozan
Backcourt,4,0,2021-22,DeMar DeRozan
In The Paint (Non-RA),359,188,2021-22,DeMar DeRozan
Left Corner 3,29,11,2021-22,DeMar DeRozan
Mid-Range,741,348,2021-22,DeMar DeRozan
Restricted Area,293,188,2021-22,DeMar DeRozan
Right Corner 3,28,7,2021-22,DeMar DeRozan
Above the Break 3,165,53,2024-25,DeMar DeRozan
Backcourt,6,0,2024-25,DeMar DeRozan
In The Paint (Non-RA),291,160,2024-25,DeMar DeRozan
Left Corner 3,65,23,2024-25,DeMar DeRozan
Mid-Range,640,293,2024-25,DeMar DeRozan
Restricted Area,121,87,2024-25,DeMar DeRozan
Right Corner 3,20,8,2024-25,DeMar DeRozan
